Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  16:04:10 0.79  0.11  73.64  1.36  10.07 -4.74  0  0  0  0 
23-Nov-2007  16:04:10 0.99  0.13  74.13  2.24  9.71 -4.55  0  0  0  0 
23-Nov-2007  16:04:12 0.66  0.16  75.24  1.73  11.56 -6.22  0  0  0  0 
23-Nov-2007  16:04:22 1.60  0.13  73.41  0.74  8.73 -3.64  0  0  1  0 
23-Nov-2007  16:04:22 0.83  0.06  73.54  1.17  8.48 -3.70  0  0  1  0 
23-Nov-2007  16:04:25 1.52  0.10  75.13  1.09  8.58 -4.54  0  0  0  1 
23-Nov-2007  16:04:28 2.93  0.19  71.24  1.60  6.74 -2.04  0  0  0  0 
23-Nov-2007  16:04:44 0.91  0.07  72.79  0.72  9.26 -3.73  0  0  1  0 
23-Nov-2007  16:04:45 0.49  0.18  72.76  1.73  9.17 -3.63  0  0  0  0 
23-Nov-2007  16:04:45 0.67  0.08  72.09  0.58  9.56 -3.72  0  0  0  0 
23-Nov-2007  16:04:49 0.58  0.06  74.35  1.36  16.67 -9.19  0  0  0  0 
23-Nov-2007  16:04:53 0.78  0.10  70.12  2.88  9.03 -3.10  0  0  0  0 
23-Nov-2007  16:05:00 6.53  0.34  68.94  0.72  9.79 -3.73  1  0  1  1 
23-Nov-2007  16:05:00 4.70  0.23  70.18  0.66  10.97 -4.67  1  0  1  1 
23-Nov-2007  16:05:02 1.83  0.22  66.88  1.77  8.55 -2.65  0  0  0  0 
23-Nov-2007  16:05:11 0.80  0.11  67.97  3.07  9.16 -3.08  0  0  0  0 
23-Nov-2007  16:05:13 0.53  0.18  72.09  1.26  9.60 -3.74  0  0  0  0 
23-Nov-2007  16:05:19 0.39  0.14  74.32  1.59  9.57 -4.57  0  0  0  0 
